Stock,Weight
DRREDDY,0.077498646862539
GRASIM,0.07416487099904506
HEROMOTOCO,0.07210809260729208
RELIANCE,0.06752059572383437
ASIANPAINT,0.06455193520300913
HDFC,0.06314628591692405
WIPRO,0.053874058153060185
CIPLA,0.05316901976561173
ONGC,0.04907312266622906
SUNPHARMA,0.04471650989370318
IOC,0.04344932733682951
TITAN,0.04203482811596414
ITC,0.04184729081949045
HDFCBANK,0.040628269597891314
BPCL,0.036509197453124094
HINDUNILVR,0.035475796072149485
INFY,0.02745298207728411
TATASTEEL,0.021417470603035095
TATAMOTORS,0.019608522406857423
M&M,0.019250521943561832
AXISBANK,0.016724989042882277
SBIN,0.0159709463778961
ICICIBANK,0.013500511544635389
HINDALCO,0.004013950135129226
ZEEL,0.00229225868202167
