Stock,Weight
TITAN,0.08502099628415698
ASIANPAINT,0.07952520265475703
HEROMOTOCO,0.07865820523820494
ICICIBANK,0.07495764553013284
HDFCBANK,0.07416199494747694
SBIN,0.072968678969009
AXISBANK,0.07262568465549046
CIPLA,0.06576183518536163
GRASIM,0.06195123282511482
TATAMOTORS,0.06066738437866485
HINDALCO,0.060366733643429926
ITC,0.03371079347971194
RELIANCE,0.031472622860787024
HDFC,0.026861346119596327
HINDUNILVR,0.02495309147973549
TATASTEEL,0.02275362546786392
WIPRO,0.017365935045565294
ZEEL,0.015444540732339699
M&M,0.014206667566932013
BPCL,0.008696712214601608
INFY,0.007436050231903867
DRREDDY,0.006011169756420003
SUNPHARMA,0.002659688456240538
ONGC,0.0012719395147905595
IOC,0.0004902227617122709
