Stock,Weight
RELIANCE,0.08038893475007693
TITAN,0.07613047927716524
AXISBANK,0.07580035121019135
ASIANPAINT,0.07316131382874447
GRASIM,0.06786255842925214
HINDUNILVR,0.06717622412021923
HEROMOTOCO,0.06057796570828133
HDFCBANK,0.054645614583646834
SBIN,0.05269933812204746
TATAMOTORS,0.04902964235388569
HDFC,0.03732582007093555
HINDALCO,0.03546772962780039
DRREDDY,0.03511627917789875
IOC,0.03369397970518601
WIPRO,0.03050029103290835
SUNPHARMA,0.029483304301021005
ICICIBANK,0.029098828562053067
TATASTEEL,0.028187683330265743
CIPLA,0.024262803331688874
ZEEL,0.016191838065252952
BPCL,0.01344465979513897
ONGC,0.009282693427469695
ITC,0.009199458951141238
INFY,0.007476318818483411
M&M,0.0037958894192453726
