Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Company Name,Industry,Daily_Return,MA20,MA50,MA200,EMA20,EMA50,RSI14,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,Rolling_Volatility_20,Log_Return,Cumulative_Return,MA20_MA50_Ratio,EMA20_EMA50_Ratio,BB_Position,RSI_Momentum,Return_5D,Return_10D,Return_20D,Volume_MA20,Volume_Ratio,Volatility_50,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,Recommendation,Future_Return_20D,Return_Zscore,Volume_Zscore
2007-11-27,ADANIPORTS,EQ,440.0,770.0,1050.0,770.0,959.0,962.9,984.72,27294366,2687719053785000.0,,9859619.0,0.3612,Adani Ports and Special Economic Zone Ltd.,SERVICES,,,,,962.9,962.9,,962.9,962.9,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,0.25833419877453534,,5.930423411151057
2011-05-31,ADANIPORTS,EQ,155.6,155.05,165.9,155.05,160.8,161.45,160.81,20663159,332289479220000.0,,17269689.0,0.8358,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.03759640102827766,143.35500000000002,143.205,238.10174999999998,147.84680181970847,144.82017241691676,81.09684947491245,150.80223321745495,146.57488008798768,4.227353129467275,2.3066100663638673,1.9207430631034077,143.35500000000002,162.94782629209385,123.76217370790619,39.185652584187665,0.025054372825610762,0.036906885459993016,-0.8323294215391006,1.0010474494605637,1.0208992252410698,0.9617761554723151,4.641823019886004,0.06357048748353078,0.11807479224376727,0.16402307137707273,3210025.5,6.4370700481974366,0.024154370285651122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,-0.026943326107153887,1.2206373311052354,4.314721479371412
2013-01-29,ADANIPORTS,EQ,136.75,137.0,156.25,137.0,146.3,145.8,147.81,19207648,283909995865000.0,161916.0,8147652.0,0.4242,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.06617915904936034,135.88500000000002,134.271,124.28875,135.6898428714864,133.86838334791122,63.39622641509432,135.96847626156202,135.47391508055048,0.4945611810115338,0.027844556632704034,0.46671662437882977,135.88500000000002,142.98874993682082,128.78125006317921,14.20749987364161,0.0250682658600722,0.06408137827246736,-0.8485824073112468,1.0120204660723464,1.0136063458601825,1.1978708490713939,14.456832475700367,0.07641196013289053,0.06501095690284875,0.05805515239477499,2216644.7,8.66519023098289,0.02397311475103153,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,-0.029835390946502227,2.1617892889669514,3.960084392273011
2014-04-10,ADANIPORTS,EQ,183.45,183.35,204.4,183.35,193.0,193.0,196.07,15336233,300703849440000.0,120503.0,4457864.0,0.2907,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.05205778141182882,182.935,169.25199999999998,151.6695,181.6645411962719,173.05910721521556,63.8480392156863,183.58611120867488,179.8516406205996,3.7344705880752826,4.235712849918537,-0.5012422618432542,182.935,191.073285090663,174.796714909337,16.276570181326008,0.022188774508072828,0.05074803810359448,-0.7995638176342291,1.0808439486682582,1.0497254037625114,1.1183735202117397,10.897481001970192,0.037634408602150504,0.07941834451901553,0.05091206098557044,2747027.05,5.582847464134,0.022405176387969,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,0.12461139896373052,1.69681098976068,3.016809254847699
2014-05-13,ADANIPORTS,EQ,204.6,210.05,227.7,210.0,223.75,224.5,221.69,21252250,471140495570000.0,164626.0,8509668.0,0.4004,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09726295210166191,196.395,186.535,156.166,195.89139009555527,185.8911973986363,65.86687306501548,199.4560018948846,193.69498887422267,5.76101302066192,3.8981775543858435,1.8628354662760769,196.395,215.14226366014674,177.64773633985328,37.49452732029346,0.035117941352810614,0.092818853664783,-0.7668501402014738,1.052858712842094,1.053795945353313,1.2495760583915536,9.703851196228221,0.1662337662337663,0.16835805360395528,0.22376669392204973,6996914.65,3.0373744804790492,0.027424541976164275,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,0.09599109131403116,3.1852934822069403,4.458254242968447
2014-05-16,ADANIPORTS,EQ,220.4,235.0,235.0,219.05,223.8,225.0,227.31,16816546,382264707500000.0,129777.0,6232484.0,0.3706,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.020871143375680523,200.83499999999998,190.04399999999998,157.2825,202.42504531534536,189.8530488481215,67.98905608755132,208.05026787532609,199.32869487170294,8.72157300362315,5.833578763817621,2.8879942398055283,200.83499999999998,225.91991054096596,175.750089459034,50.16982108193196,0.033775932615660594,0.020656324925660653,-0.7663308754803189,1.0567815874218602,1.0662196185075816,0.9816640657445507,7.248315346810564,0.09916951636541294,0.21065375302663436,0.20320855614973254,7642193.9,2.200486695319259,0.027084981966540467,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.02488888888888896,0.6699203928072288,3.3774893804626163
2014-07-02,ADANIPORTS,EQ,244.2,245.95,279.4,245.9,270.25,271.25,269.25,29796852,802267303480000.0,169697.0,5551108.0,0.1863,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.11076986076986084,239.80750000000003,223.4,174.29575,238.3862526896953,224.3485355468648,70.05847953216374,242.3393533090414,235.61032281242208,6.729030496619316,5.147506794711066,1.5815237019082504,239.80750000000003,261.6623868437484,217.9526131562517,43.70977368749669,0.036740104476898766,0.10505334317806507,-0.7182988887734955,1.0734444941808416,1.062571021953019,1.2193471241649139,15.033353904023038,0.14379084967320255,0.17398831421770167,0.11236415829403334,5139783.5,5.7972971040511725,0.035630938511215154,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,-0.03944700460829487,3.630039000759012,6.5401572747525885
2015-06-03,ADANIPORTS,EQ,309.15,311.0,311.8,288.0,298.8,297.25,297.75,24022178,715251708035000.0,146495.0,12622642.0,0.5255,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.03849264111272843,333.085,323.603,305.04875,327.39456212553745,326.0882977898425,27.42927429274293,324.3068033707021,327.7226792516383,-3.4158758809361984,1.9214811545613095,-5.337357035497508,333.085,360.8426940496124,305.32730595038754,55.51538809922488,0.022825289683595613,-0.039253060433686496,-0.6912971232734436,1.029301335278103,1.0040058608191356,-0.1454967032915387,-1.9514898706299277,-0.122897609914429,-0.13350823495117337,-0.10250603864734298,3653843.05,6.574496405914315,0.024338552240203027,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.047266610597140435,-1.2847664836704376,5.133150686480244
2015-08-31,ADANIPORTS,EQ,362.65,365.0,372.4,345.2,348.65,355.45,356.9,30058587,1072781324355000.0,215588.0,22416516.0,0.7458,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.019853853577829872,348.9525,331.19300000000004,319.97225000000003,348.0299154854911,336.8044427599782,58.69165747886806,352.4756632969845,344.96644766834623,7.509215628638287,7.816527245546602,-0.307311616908315,348.9525,376.2481421238216,321.6568578761784,54.591284247643216,0.03351216950957199,-0.020053589433929292,-0.6308547097310193,1.053622812076342,1.033329348726889,0.6190208306975395,-0.19477319959800354,0.06231320980274946,-0.00795422830030712,0.07484124584215301,6268133.65,4.795460447784166,0.024852217417990364,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,-0.15881277254184833,-0.671042245872973,6.603929336929858
2016-05-04,ADANIPORTS,EQ,235.5,234.5,234.5,205.5,207.25,208.25,213.24,22904231,488414641610000.06,200351.0,7108757.0,0.3104,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.11571125265392779,230.10750000000002,226.576,272.50875,230.57478435854608,229.9447631424295,35.96491228070175,229.93679352948124,230.3587960716859,-0.42200254220466604,1.2383696071010892,-1.6603721493057553,230.10750000000002,246.48120404691775,213.73379595308228,32.747408093835475,0.036622147230059215,-0.12297163240952035,-0.7837262436390064,1.0155863816114683,1.0027398806891998,-0.1674574041819992,-28.37754138214025,-0.1367875647668394,-0.10813704496788012,-0.14265129682997124,4740210.4,4.831901765373114,0.029965601268903012,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,-0.02857142857142847,-3.827363925868224,4.860761492849694
